Snail ID,Lake,Collection,Sex,Ploidy,RM,Temperature,Head,Righting
PoeAsF3N_4,Poerua,Lab,Female,3x,Asexual,22C,2.38,19.81
PoeAsF3N_5,Poerua,Lab,Female,3x,Asexual,22C,2.54,10.23
PoeAsF3N_6,Poerua,Lab,Female,3x,Asexual,22C,1.85,14.19
PoeAsF3N_7,Poerua,Lab,Female,3x,Asexual,22C,1.71,22.82
PoeAsF3N_8,Poerua,Lab,Female,3x,Asexual,22C,1.75,13.21
PoeAsF3N_9,Poerua,Lab,Female,3x,Asexual,22C,1.77,7.18
PoeAsM3N_1,Poerua,Lab,Male,3x,Asexual,22C,3.03,8.45
RrFF17_16,Rotoroa,Field,Female,2x,Sexual,22C,4.78,38.57
RrFF17_2,Rotoroa,Field,Female,3x,Asexual,22C,18.94,67.36
RrFF17_3,Rotoroa,Field,Female,2x,Sexual,22C,18.64,88.74
RrFF17_5,Rotoroa,Field,Female,2x,Sexual,22C,15.29,32.9
RrFF17_6,Rotoroa,Field,Female,2x,Sexual,22C,6.25,43.06
SeF13_28,Selfe,Field,Female,3x,Asexual,22C,13.97,31.73
SeFF17_10,Selfe,Field,Female,2x,Sexual,22C,3.06,79.09
SeFF17_11,Selfe,Field,Female,3x,Asexual,22C,8.93,34.39
SeFF17_12,Selfe,Field,Female,3x,Asexual,22C,1.85,13.96
SeFF17_13,Selfe,Field,Female,3x,Asexual,22C,7.92,25
SeFF17_14,Selfe,Field,Female,3x,Asexual,22C,4.39,20.08
SeFF17_17,Selfe,Field,Female,2x,Sexual,22C,1.67,6.95
SeFF17_9,Selfe,Field,Female,3x,Asexual,22C,4.89,27.39
SeFM16_10,Selfe,Field,Male,2x,Sexual,22C,5.4,19.79
SeFM16_11,Selfe,Field,Male,2x,Sexual,22C,7.68,25.61
SeFM16_12,Selfe,Field,Male,3x,Asexual,22C,3.02,12.81
SeFM16_7,Selfe,Field,Male,2x,Sexual,22C,15.28,46.25
SeFM16_8,Selfe,Field,Male,2x,Sexual,22C,5.19,22.1
SeFM16_9,Selfe,Field,Male,3x,Asexual,22C,14.74,81.62
SeFM17_1,Selfe,Field,Male,2x,Sexual,22C,3.09,6.85
SeFM17_3,Selfe,Field,Male,2x,Sexual,22C,2.07,21.48
SeFM17_4,Selfe,Field,Male,2x,Sexual,22C,2.55,17.69
AlFM17_10,Alexandrina,Field,Male,2x,Sexual,30C,16.51,85.39
AlFM17_11,Alexandrina,Field,Male,2x,Sexual,30C,11.97,19.61
AlFM17_8,Alexandrina,Field,Male,2x,Sexual,30C,10.72,21.78
AlOF16_10,Alexandrina,Lab,Female,2x,Sexual,30C,31.98,51.39
AlOF16_11,Alexandrina,Lab,Female,2x,Sexual,30C,68.27,139.63
AlOF16_3,Alexandrina,Lab,Female,2x,Sexual,30C,150.84,180
AlOF16_7,Alexandrina,Lab,Female,2x,Sexual,30C,21.95,180
AlOF16_8,Alexandrina,Lab,Female,2x,Sexual,30C,17.11,115.43
AlOM16_1,Alexandrina,Lab,Male,2x,Sexual,30C,21.1,69.85
AlOM16_3,Alexandrina,Lab,Male,2x,Sexual,30C,27.01,180
AlOM16_4,Alexandrina,Lab,Male,2x,Sexual,30C,12.21,118.25
AlOM16_5,Alexandrina,Lab,Male,2x,Sexual,30C,63.04,180
EyFF16_08,Ellery,Field,Female,2x,Sexual,30C,7.33,17.3
EyFF16_09,Ellery,Field,Female,3x,Asexual,30C,12.17,25.01
EyFF16_14,Ellery,Field,Female,3x,Asexual,30C,19.14,35.28
EyFF16_16,Ellery,Field,Female,2x,Sexual,30C,14.13,77.27
EyFF16_17,Ellery,Field,Female,3x,Asexual,30C,2.48,60.86
Gu4xAsF_11,Gunn,Lab,Female,4x,Asexual,30C,29.55,51.46
Gu4xAsF_12,Gunn,Lab,Female,4x,Asexual,30C,20.33,34.87
Gu4xAsF_13,Gunn,Lab,Female,4x,Asexual,30C,12.48,51.89
Gu4xAsF_4,Gunn,Lab,Female,4x,Asexual,30C,4.14,14.76
Gu4xAsF_7,Gunn,Lab,Female,4x,Asexual,30C,5.2,10.68
Gu4xAsF_8,Gunn,Lab,Female,4x,Asexual,30C,6.68,19.5
Gu4xAsF_9,Gunn,Lab,Female,4x,Asexual,30C,1.74,4.49
Gu4xAsM_3,Gunn,Lab,Male,4x,Asexual,30C,9.39,18.42
Gu4xAsM_5,Gunn,Lab,Male,4x,Asexual,30C,20.94,62.79
Gu4xAsM_6,Gunn,Lab,Male,4x,Asexual,30C,44.71,180
Gu4xAsM_8,Gunn,Lab,Male,4x,Asexual,30C,6.03,19.13
Gu4xAsM_9,Gunn,Lab,Male,4x,Asexual,30C,6.92,16.17
Hr76AsF3N_1,Heron,Lab,Female,3x,Asexual,30C,12.53,119.18
Hr76AsF3N_8,Heron,Lab,Female,3x,Asexual,30C,5.96,49.45
KnAsF13_4,Kaniere,Lab,Female,3x,Asexual,30C,5.77,100.06
KnFF16_5,Kaniere,Field,Female,2x,Sexual,30C,8.78,17.72
KnFF16_7,Kaniere,Field,Female,3x,Asexual,30C,144.68,180
KnFM16_12,Kaniere,Field,Male,2x,Sexual,30C,19.05,30.45
KnFM16_4,Kaniere,Field,Male,2x,Sexual,30C,13.95,22.3
KnFM16_5,Kaniere,Field,Male,2x,Sexual,30C,10.53,24.15
KnFM16_8,Kaniere,Field,Male,2x,Sexual,30C,36.82,102.56
MkAsF_2,Mapourika,Lab,Female,3x,Asexual,30C,10.52,22.19
MkAsM_1,Mapourika,Lab,Male,3x,Asexual,30C,10.45,25.36
MkFF17_2,Mapourika,Field,Female,2x,Sexual,30C,4.41,37.08
MkFF17_3,Mapourika,Field,Female,3x,Asexual,30C,9.2,180
MkFF17_5,Mapourika,Field,Female,3x,Asexual,30C,5.64,50.08
MkFF17_7,Mapourika,Field,Female,2x,Sexual,30C,32.03,180
MkFM16_10,Mapourika,Field,Male,2x,Sexual,30C,3.95,134.44
MkFM16_2,Mapourika,Field,Male,2x,Sexual,30C,18.82,56.73
MkFM16_3,Mapourika,Field,Male,2x,Sexual,30C,23.19,47.47
MkFM16_4,Mapourika,Field,Male,2x,Sexual,30C,7.08,107.26
MkFM16_7,Mapourika,Field,Male,2x,Sexual,30C,4.2,16.64
MkFM16_9,Mapourika,Field,Male,2x,Sexual,30C,9.14,100.01
PoeAsF3N_1,Poerua,Lab,Female,3x,Asexual,30C,9.25,16.8
PoeAsF3N_10,Poerua,Lab,Female,3x,Asexual,30C,7.95,48.64
PoeAsF3N_2,Poerua,Lab,Female,3x,Asexual,30C,5.48,11.85
PoeAsF3N_4,Poerua,Lab,Female,3x,Asexual,30C,3.36,33.5
PoeAsF3N_5,Poerua,Lab,Female,3x,Asexual,30C,3.65,41.13
PoeAsF3N_6,Poerua,Lab,Female,3x,Asexual,30C,4.6,15.55
PoeAsF3N_7,Poerua,Lab,Female,3x,Asexual,30C,9.28,69.2
PoeAsF3N_8,Poerua,Lab,Female,3x,Asexual,30C,5.23,27.76
PoeAsF3N_9,Poerua,Lab,Female,3x,Asexual,30C,3.23,11.11
PoeAsM3N_1,Poerua,Lab,Male,3x,Asexual,30C,21.39,39.74
RrFF17_16,Rotoroa,Field,Female,2x,Sexual,30C,66.21,110.32
RrFF17_2,Rotoroa,Field,Female,3x,Asexual,30C,55.16,107.84
RrFF17_3,Rotoroa,Field,Female,2x,Sexual,30C,24.55,127.32
RrFF17_5,Rotoroa,Field,Female,2x,Sexual,30C,12.17,23.21
RrFF17_6,Rotoroa,Field,Female,2x,Sexual,30C,9.52,85.65
SeF13_28,Selfe,Field,Female,3x,Asexual,30C,16.99,89.26
SeFF17_10,Selfe,Field,Female,2x,Sexual,30C,4.88,180
SeFF17_11,Selfe,Field,Female,3x,Asexual,30C,4.92,41.75
SeFF17_12,Selfe,Field,Female,3x,Asexual,30C,3.18,14.47
SeFF17_13,Selfe,Field,Female,3x,Asexual,30C,11.63,37.94
SeFF17_14,Selfe,Field,Female,3x,Asexual,30C,6.09,25.6
SeFF17_17,Selfe,Field,Female,2x,Sexual,30C,13.7,27.18
SeFF17_9,Selfe,Field,Female,3x,Asexual,30C,55.63,100.29
SeFM16_10,Selfe,Field,Male,2x,Sexual,30C,25.42,102.02
SeFM16_11,Selfe,Field,Male,2x,Sexual,30C,9.85,27.73
SeFM16_12,Selfe,Field,Male,3x,Asexual,30C,12.62,75.44
SeFM16_7,Selfe,Field,Male,2x,Sexual,30C,23.09,78.09
SeFM16_8,Selfe,Field,Male,2x,Sexual,30C,5.08,31.19
SeFM16_9,Selfe,Field,Male,3x,Asexual,30C,12.43,122.96
SeFM17_1,Selfe,Field,Male,2x,Sexual,30C,4.65,20.89
SeFM17_3,Selfe,Field,Male,2x,Sexual,30C,6.22,37.16
SeFM17_4,Selfe,Field,Male,2x,Sexual,30C,57.97,145.55
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
